Date/Time,Word Count,en,fr-FR
2024.11.01-18.09.06,372,372,0
2024.11.01-18.24.17,164,164,43
2024.11.01-18.41.46,164,164,164
2024.11.01-18.46.35,130,130,130
2024.11.01-18.49.25,113,113,113
2024.11.01-19.08.43,251,251,113
2024.11.01-20.11.04,251,251,0
2024.11.01-20.11.48,219,219,0
2024.11.01-20.12.37,219,219,113
2024.11.01-20.29.39,213,213,185
2024.11.01-22.05.37,387,387,209
2024.11.03-05.19.15,385,385,385
2024.11.03-05.21.29,374,374,374
2024.11.03-05.23.13,366,366,366
2024.11.03-05.24.15,365,365,365
2024.11.03-05.24.57,363,363,363
